"TrialName","Species","Individual","test","expTreatment","CAA:Asp","VCA:CVL","Lum mean","PC1"
"Botia_lohachata_C_10","Botia_lohachata",10,"Merged_550","control",0.568484203,0.26293561,0.530834432,0.29055572637288
"Botia_lohachata_C_11","Botia_lohachata",11,"Merged_550","control",0.542857318,0.356239279,0.728395908,0.38986788083737
"Botia_lohachata_C_12","Botia_lohachata",12,"Merged_550","control",0.606944841,0.261613662,0.425934295,0.39381770575355
"Botia_lohachata_C_13","Botia_lohachata",13,"Merged_550","control",0.581517688,0.346231425,0.656512292,0.45880563658273
"Botia_lohachata_C_14","Botia_lohachata",14,"Merged_550","control",NA,NA,0.746705092,NA
"Botia_lohachata_C_4","Botia_lohachata",4,"Merged_550","control",0.508516725,0.331434944,0.68805962,0.33354073959301
"Botia_lohachata_C_5","Botia_lohachata",5,"Merged_550","control",0.57705234,0.265796536,0.500669681,0.28070290859863
"Botia_lohachata_C_6","Botia_lohachata",6,"Merged_550","control",0.503637833,0.273764321,0.609362385,0.15648293793787
"Botia_lohachata_C_7","Botia_lohachata",7,"Merged_550","control",0.526960191,0.343105572,0.541129926,0.3522824585029
"Botia_lohachata_C_8","Botia_lohachata",8,"Merged_550","control",0.613724834,0.271043024,0.549336516,0.31846664681216
"Botia_lohachata_P_1","Botia_lohachata",1,"Merged_550","predator",0.489895141,0.388429939,0.737034465,0.39089436491007
"Botia_lohachata_P_10","Botia_lohachata",10,"Merged_550","predator",0.639789446,0.318953079,0.409596088,0.36829305758756
"Botia_lohachata_P_11","Botia_lohachata",11,"Merged_550","predator",NA,NA,0.480658078,NA
"Botia_lohachata_P_12","Botia_lohachata",12,"Merged_550","predator",0.49077152,0.492363643,0.682093216,0.38692331808831
"Botia_lohachata_P_13","Botia_lohachata",13,"Merged_550","predator",0.614771647,0.399540794,0.56976921,0.25417960766397
"Botia_lohachata_P_14","Botia_lohachata",14,"Merged_550","predator",0.486322151,0.537070096,0.812841477,0.30492427686235
"Botia_lohachata_P_15","Botia_lohachata",15,"Merged_550","predator",0.573493758,0.302771168,0.666530757,0.16950099603118
"Botia_lohachata_P_2","Botia_lohachata",2,"Merged_550","predator",0.56796176,0.229484158,0.471231415,0.30329671155904
"Botia_lohachata_P_3","Botia_lohachata",3,"Merged_550","predator",0.588274237,0.259807612,0.429517922,0.30015835608581
"Botia_lohachata_P_4","Botia_lohachata",4,"Merged_550","predator",0.63180351,0.415687948,0.620939022,0.31256918765565
"Botia_lohachata_P_6","Botia_lohachata",6,"Merged_550","predator",0.607784783,0.332629517,0.414040829,0.39791336306104
"Botia_lohachata_P_7","Botia_lohachata",7,"Merged_550","predator",0.579909383,0.251738577,0.481451264,0.26214631614647
"Botia_lohachata_P_8","Botia_lohachata",8,"Merged_550","predator",0.572847583,0.286577416,0.581631428,0.41046730470173
"Botia_lohachata_P_9","Botia_lohachata",9,"Merged_550","predator",0.492790369,0.281201912,0.608838971,0.30666818488303
"Yasuhikotakia_modesta_C_10","Yasuhikotakia_modesta",10,"Merged_550","control",0.631483295,0.180529149,0.289938345,0.2893698291911
"Yasuhikotakia_modesta_C_6","Yasuhikotakia_modesta",6,"Merged_550","control",0.737806581,0.410915239,0.288232074,0.29419915452418
"Yasuhikotakia_modesta_C_7","Yasuhikotakia_modesta",7,"Merged_550","control",NA,NA,0.267088405,NA
"Yasuhikotakia_modesta_C_8","Yasuhikotakia_modesta",8,"Merged_550","control",0.713546138,0.355564601,0.265118163,0.3582610423992
"Yasuhikotakia_modesta_C_9","Yasuhikotakia_modesta",9,"Merged_550","control",0.685857478,0.257483442,0.259159556,0.39063035400317
"Yasuhikotakia_modesta_P_11","Yasuhikotakia_modesta",11,"Merged_550","predator",0.590561726,0.233573417,0.268983504,0.16038834890637
"Yasuhikotakia_modesta_P_12","Yasuhikotakia_modesta",12,"Merged_550","predator",NA,NA,0.233646725,NA
"Yasuhikotakia_modesta_P_13","Yasuhikotakia_modesta",13,"Merged_550","predator",NA,NA,0.267918722,NA
"Yasuhikotakia_modesta_P_14","Yasuhikotakia_modesta",14,"Merged_550","predator",NA,NA,0.250180501,NA
"Yasuhikotakia_modesta_P_15","Yasuhikotakia_modesta",15,"Merged_550","predator",0.637186228,0.256906513,0.280218487,0.38449552636806
"Yasuhikotakia_modesta_P_16","Yasuhikotakia_modesta",16,"Merged_550","predator",0.595651824,0.232265583,0.264808504,0.38618271432838
"Yasuhikotakia_modesta_P_17","Yasuhikotakia_modesta",17,"Merged_550","predator",NA,NA,0.231076907,NA
"Yasuhikotakia_modesta_P_18","Yasuhikotakia_modesta",18,"Merged_550","predator",NA,NA,0.218193714,NA
"Yasuhikotakia_modesta_P_19","Yasuhikotakia_modesta",19,"Merged_550","predator",0.646733069,0.225978234,0.27404482,0.35850464185304
"Yasuhikotakia_modesta_P_20","Yasuhikotakia_modesta",20,"Merged_550","predator",0.695324273,0.297662507,0.283715662,0.330896445521
"Yasuhikotakia_modesta_P_21","Yasuhikotakia_modesta",21,"Merged_550","predator",0.627747377,0.250618393,0.246200143,0.39579058139723
"Yasuhikotakia_modesta_P_22","Yasuhikotakia_modesta",22,"Merged_550","predator",NA,NA,0.234803765,NA
"Yasuhikotakia_modesta_P_23","Yasuhikotakia_modesta",23,"Merged_550","predator",NA,NA,0.242049039,NA
"Yasuhikotakia_modesta_P_24","Yasuhikotakia_modesta",24,"Merged_550","predator",0.666712963,0.27558209,0.22592819,0.39873622317705
"Yasuhikotakia_modesta_P_25","Yasuhikotakia_modesta",25,"Merged_550","predator",NA,NA,0.267782087,NA
"Yasuhikotakia_modesta_P_26","Yasuhikotakia_modesta",26,"Merged_550","predator",0.723202476,0.427573328,0.331664975,0.38523356213547
"Yasuhikotakia_modesta_P_27","Yasuhikotakia_modesta",27,"Merged_550","predator",0.61904741,0.237767789,0.25796899,0.31973219187176
"Yasuhikotakia_modesta_P_28","Yasuhikotakia_modesta",28,"Merged_550","predator",0.638491551,0.330432066,0.298301957,0.1844745893327
"Botia_lohachata_C_10","Botia_lohachata",10,"bg_Merged_clips_sum","control",0.800174044,0.334262733,0.226959744,0.19298880675234
"Botia_lohachata_C_10","Botia_lohachata",10,"bg_Merged_clips_sum","control",0.736735154,0.320199291,0.238822172,0.21635595492584
"Botia_lohachata_C_10","Botia_lohachata",10,"bg_Merged_clips_sum","control",0.755980959,0.267416745,0.223296729,0.13412017140139
"Botia_lohachata_C_11","Botia_lohachata",11,"bg_Merged_clips_sum","control",0.721920054,0.23877438,0.192147841,0.17871422435886
"Botia_lohachata_C_11","Botia_lohachata",11,"bg_Merged_clips_sum","control",0.823716501,0.23700151,0.141216174,0.15204543985662
"Botia_lohachata_C_11","Botia_lohachata",11,"bg_Merged_clips_sum","control",0.797824648,0.207875831,0.108248536,0.14998986689758
"Botia_lohachata_C_11","Botia_lohachata",11,"bg_Merged_clips_sum","control",0.793279985,0.27273658,0.139004706,0.16816660083218
"Botia_lohachata_C_11","Botia_lohachata",11,"bg_Merged_clips_sum","control",0.777297422,0.290933367,0.196419756,0.17181093527386
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.699406219,0.187550653,0.165706747,0.14635320099943
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.766605042,0.277231733,0.203107909,0.14771914446394
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.762939138,0.263405126,0.230266151,0.16040476067612
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.803169257,0.296058262,0.218452773,0.20762432846145
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.719240869,0.282012087,0.172277764,0.18204300619567
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.800400908,0.27571498,0.168443915,0.19169009929099
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.699009861,0.282351385,0.210829689,0.14833326032171
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.794486633,0.283108973,0.203553177,0.1485058147378
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.771664025,0.255036285,0.196881562,0.16152782560198
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.735818318,0.296436366,0.187507003,0.14742821999932
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.831032083,0.294938611,0.20902625,0.22173430084843
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.808862038,0.270648983,0.208131216,0.17061417327452
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.806111589,0.269511349,0.150909481,0.17034033678323
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.759343058,0.23441276,0.14929002,0.17972801544608
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.782624379,0.26670622,0.200849239,0.1701665346181
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.757183287,0.26898747,0.190535614,0.17507054840537
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.785094856,0.276416844,0.206152269,0.20662833950256
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.794540074,0.24294562,0.157808626,0.16095453595427
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.764882319,0.277636143,0.33762313,0.16834490998086
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.810867339,0.245974391,0.157671981,0.18212011147802
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.738917261,0.304303028,0.323306141,0.18144282208197
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.802228451,0.29568177,0.281043691,0.17967620161098
"Botia_lohachata_C_12","Botia_lohachata",12,"bg_Merged_clips_sum","control",0.784249041,0.233214723,0.150022656,0.16309997256926
"Botia_lohachata_C_13","Botia_lohachata",13,"bg_Merged_clips_sum","control",0.761116648,0.304201722,0.168761094,0.2193913903054
"Botia_lohachata_C_13","Botia_lohachata",13,"bg_Merged_clips_sum","control",0.796118913,0.371103563,0.23966861,0.24399016125552
"Botia_lohachata_C_13","Botia_lohachata",13,"bg_Merged_clips_sum","control",0.717664726,0.343044563,0.259279909,0.22961756586219
"Botia_lohachata_C_2","Botia_lohachata",2,"bg_Merged_clips_sum","control",0.80320104,0.209763953,0.144886223,0.1647566090503
"Botia_lohachata_C_2","Botia_lohachata",2,"bg_Merged_clips_sum","control",0.808115824,0.22723703,0.140766897,0.16843069665443
"Botia_lohachata_C_2","Botia_lohachata",2,"bg_Merged_clips_sum","control",0.77726355,0.228269247,0.160015668,0.18000742054536
"Botia_lohachata_C_3","Botia_lohachata",3,"bg_Merged_clips_sum","control",0.659880467,0.215809423,0.183063689,0.17774710742243
"Botia_lohachata_C_3","Botia_lohachata",3,"bg_Merged_clips_sum","control",0.805070307,0.237924761,0.187225483,0.17817232512439
"Botia_lohachata_C_3","Botia_lohachata",3,"bg_Merged_clips_sum","control",0.836256508,0.244771007,0.174840343,0.2026046289989
"Botia_lohachata_C_4","Botia_lohachata",4,"bg_Merged_clips_sum","control",0.748258558,0.309818783,0.242619553,0.20616826802838
"Botia_lohachata_C_4","Botia_lohachata",4,"bg_Merged_clips_sum","control",0.699549958,0.293806902,0.191807818,0.17584006686069
"Botia_lohachata_C_4","Botia_lohachata",4,"bg_Merged_clips_sum","control",0.788774004,0.322432741,0.256145464,0.18204559345506
"Botia_lohachata_C_5","Botia_lohachata",5,"bg_Merged_clips_sum","control",0.745369202,0.276940679,0.156394332,0.22915409618965
"Botia_lohachata_C_7","Botia_lohachata",7,"bg_Merged_clips_sum","control",0.630896047,0.29213452,0.263947757,0.19199615926771
"Botia_lohachata_C_7","Botia_lohachata",7,"bg_Merged_clips_sum","control",0.852655845,0.328101976,0.183610211,0.1876974933551
"Botia_lohachata_C_8","Botia_lohachata",8,"bg_Merged_clips_sum","control",0.790417564,0.260423681,0.22289611,0.18837713338168
"Botia_lohachata_P_10","Botia_lohachata",10,"bg_Merged_clips_sum","predator",0.654913158,0.089174221,0.157944516,0.04755497524923
"Botia_lohachata_P_10","Botia_lohachata",10,"bg_Merged_clips_sum","predator",0.782627414,0.192412051,0.088187294,0.15870913911437
"Botia_lohachata_P_10","Botia_lohachata",10,"bg_Merged_clips_sum","predator",0.738187017,0.173552067,0.086038636,0.13294978437594
